Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Supply Chain and Operations Management Tips,"<p>Supply chain and operations management is a profession that evolves quickly. Investing in your professional development will pay for itself in time and money. This series helps you review the latest in supply chain and operations management in bite-sized chunks. Logistics expert Daniel Stanton covers topics to improve your knowledge in operations and supply chain management. Learn about adopting strategic sourcing, enforcing supply chain security, minimizing the Bullwhip Effect, and more. You should leave each video knowing how to immediately apply your newfound knowledge to your role in operations-and directly increase the value you deliver to the customer. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-warehousing-operations-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2018-08-21 15:05 UTC,N/A,false,N/A,
Sales: Referral Selling,"Referrals offer the biggest competitive advantage of any sales tool out there—yet many teams aren't using referral selling as the primary way they prospect. Transform the way you work and build a sales pipeline full of qualified, low-cost leads with this simple tool. Joanne Black—speaker, author, and sales coach—explains why referrals work, and what gets in the way of asking for them. She shows how to earn introductions to prime prospects, ask for referrals in the right way, and leverage social media to widen your reach. The course includes worksheets to help you build out your referral process, as well as role-play scenarios that demonstrate how referral requests play out in real face-to-face conversations.",Course,2018-08-13 19:03 UTC,N/A,false,N/A,
The Cost of Ignoring Employee Feedback,"Are you undervaluing employee feedback? In this course, Yan Gelman shares the consequences of ignoring employee feedback as well as strategies for more effectively addressing feedback. Learn to foster a culture of feedback in order to prevent consequences such as decreased employee morale, reduced productivity, increased organizational and financial risks, and decreased innovation. After this course, you'll be ready to embrace employee feedback and drive organizational success.",Course,2026-02-06 22:28 UTC,N/A,false,N/A,
Creating Great First Impressions,"First impressions matter. Whether you're walking into a meeting, interview, or negotiation, you need to know how to instantly build rapport. Luckily, the ability to make a lasting first impression isn't an innate skill; there's actually a science to it. In this course, Vanessa Van Edwards—lead investigator at Science of People, a human behavior research lab—shares research-backed strategies that can help you make the first few seconds of any interaction count. Vanessa dives into the body language that is essential to an engaging first impression, the vocal cues that help you sound confident both in person and on the phone, and the best opening lines for sparking a great conversation. Plus, get tips for changing dull small talk into a lively and memorable conversation.",Course,2021-08-18 15:35 UTC,N/A,false,N/A,
Being a Good Mentor,"Becoming a mentor gives you a way to share your wisdom and knowledge with someone less experienced. People who mentor also benefit; studies have shown they often earn more money and promotions than nonmentors. But there are some important guidelines to consider before you start this mutually beneficial relationship. In the course, professor Ellen Ensher, author of <em>Power Mentoring</em>, explains how to get to know your protégé, shares the dos and don'ts for appropriate self-disclosure, and helps you develop a structure and agenda for each mentoring meeting.<br><br> 

She also offers guidance on building trust and chemistry, providing feedback, and helping your protégé make critical career and work decisions and become resilient in the face of challenges. She also helps you address common obstacles, including a protégé that fails to meet expectations or violates trust, and explains how to gracefully exit the relationship.",Course,2021-07-29 02:11 UTC,N/A,false,N/A,
AI in Project Management,"<p>Discover how AI can streamline project management in this course led by experts Chris Croft and Dave Birss. Chris brings extensive expertise in project management, while Dave specializes in generative AI, making them the perfect duo to guide you through integrating AI into your project workflows. </p>

<p>This course teaches you how to integrate AI effectively into project planning, enhancing everything from risk assessment to resource allocation. This course covers practical AI applications in project management, demonstrating how it interfaces with management software and improves the estimation of time and costs. </p>

<p>Ideal for project managers eager to incorporate AI into their processes for quicker, more precise planning. You'll start with simple tasks like automating meeting minutes and gradually progress to more complex applications. By the end of this course, you'll be equipped to use AI as a significant asset in your project management toolkit. </p>

<p>This course was created by Chris Croft, Dave Birss, and CRFT Productions. We are pleased to host this training in our library. </p>",Course,2024-08-08 14:35 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007880,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007880,Course,2020-01-26 02:49 UTC,N/A,false,N/A,
Excel: Advanced Formulas and Functions (2022),"Follow along with Excel expert Dennis Taylor as he demystifies the hundreds of formulas and functions available in Excel. Dennis starts with a few critical formula shortcuts that will speed up your work, then covers a variety of functions, such as VLOOKUP, MATCH, and INDEX, statistical functions, text functions, and date and time, math, text, and information functions. Dennis provides practical examples to help viewers easily transition to using Excel's most powerful formulas and functions in real-world scenarios. Note that this course is recorded in Excel for Office 365 but anyone using a recent version—including 2019, 2016, and 2013—will be able to follow along.",Course,2020-01-24 04:41 UTC,N/A,false,N/A,
Self-Compassion: The Proven Power of Being Kind to Yourself (Blinkist Summary),"<i>Self-Compassion</i> is an urgent call for us to be more kind to ourselves. Based on empirical psychological research, this popular book looks at the causes and effects of the vicious self-criticism and feelings of inadequacy that plague many of our minds. It shows a healthier, more compassionate way to relate to ourselves. In this audiobook summary, you can gain valuable lessons from the book, such as understanding the lasting impacts of your upbringing and society on your self-worth and the dire consequences of self-criticism. Get advice for implementing self-compassion in your daily life, including making the appropriate psychological space from pain and resisting judgment of others. This guidance can help you kick-start the journey of self-forgiveness and kindness.<br><br>

Note: This audiobook summary was produced by <a href=""https://www.blinkist.com/?utm_source=linkedinlearning&utm_medium=partner&utm_campaign= Self-Compassion-The-Proven-Power-of-Being-Kind-to-Yourself-Blinkist"" target=""_blank"">Blinkist</a>. We are pleased to host this content in our library.",Course,2021-01-04 14:42 UTC,N/A,false,N/A,
How to Make Strategic Thinking a Habit (2020),"Working hard is important—but what's really critical is making sure you're working on the right things. That's what strategic thinking enables you to do. In this course, Dorie Clark shares frameworks and strategies to help you make strategic thinking a daily habit, so that you can make the best use of your time, energy, and effort at work. Discover how to set yourself up for success by carving out time for strategic thinking and adjusting your routine to spark more strategic thoughts. Get tactics for thinking strategically about the tasks and decisions that lie ahead of you, as well as how to revisit past decisions to glean valuable insights. Learn how to change the way you approach your to-do list and examine the root cause of problems to devise better solutions. Plus, Dorie explains how to consistently ask yourself the right questions, so that you don't get off track.",Course,2021-06-28 18:06 UTC,N/A,false,N/A,
Google Calendar Essential Training (2018),"Manage your personal and professional schedules more effectively with Google Calendar. In this concise course, staff instructor Jess Stratton shows how to get started scheduling events, keeping track of your to-dos, and accessing it all on the go. Jess begins by showing how to change the way Google Calendar looks and acts to make it better suit your needs. Next, she moves straight into creating single or repeating events, inviting guests, and adding rooms and resources to an event. She demonstrates how to respond to invitations, and covers the ins and outs of pop-up reminders and email notifications. Jess also shows how to create an additional calendar, share your calendar with others, and access your Google Calendar on your phone or tablet.",Course,2019-01-17 22:25 UTC,N/A,false,N/A,
Negotiating Your Salary,"In this course, instructor Valerie Sutton shares smart strategies that can help you prepare for a salary negotiation, discuss your strengths, and follow up to achieve agreement. Discover how to research the salary range for the position you're applying for, determine your personal salary range, and make a persuasive request. Plus, learn what to consider in salary negotiations if you're working outside of your home country, how equity works in offers, and how to leave a position in good standing. Whether you're at your current job or making a leap to the next, this course can help you compare your expectations and performance with others and negotiate a salary that works for both you and your employer.",Course,2018-08-06 17:05 UTC,N/A,false,N/A,
Nano Tips for New Managers with Lorraine K. Lee,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover strategies for successfully navigating your role as a new manager. Gather insights to grow and lead a winning team from keynote speaker, founder, and author Lorraine K. Lee.</p><p>Learn how to thrive in your first few months as a manager and overcome your insecurities with your team. Throw perfection out the door, manage meetings intentionally, build trust, and advocate for everyone on the team. Discover practical techniques for giving and receiving feedback, sharing goals and expectations, and creating a thoughtful, inclusive work environment. Along the way, Lorraine also shares unexpected approaches to management, like how to support your teammates so that they can find their next role—even if it's not on your team!</p>",Course,2025-04-18 17:16 UTC,N/A,false,N/A,
Picking the Right Chart for Your Data,"When selecting charts to showcase data, many people simply pick from the few choices available in Excel or other such software. This can be highly limiting, and can result in the selection of charts that fail to effectively convey whatever you're trying to communicate. This course can help you think more strategically about your data, and provide you with the tools you need to pick the best visual display for the type of data you're working with—and your ultimate communication goals. Main topics include getting to the key idea you're trying to communicate; finding the right standard chart for your data type; and brainstorming and experimenting to come up with alternatives to the standards.",Course,2024-07-09 19:46 UTC,N/A,false,N/A,
Dan Ariely on Making Decisions,"What happens in your brain when you make a decision? When should you use your intuition? How do you make a decision when the stakes are high, when someone will be negatively impacted, when there’s too much or too little information, or when you need to involve your whole team in the decision-making process? And how can you stop procrastinating making a decision? In this course, Dan Ariely—social scientist, beloved professor, and best-selling author of seven books—answers the most-pressing questions about decision-making, based on insights from his extensive research.",Course,2022-03-02 15:01 UTC,N/A,false,N/A,
Building Your Cybersecurity Talent Pipeline,"Cyberattacks are becoming more frequent, infrastructures are becoming more complex, and hiring and retaining cybersecurity resources is becoming increasingly difficult. But what can you do about it? Cybersecurity executive and educator Tia Hopkins explains the challenges and evaluates the data behind the perceived cybersecurity skills gap. She shows you how to structure your security program to widen and diversify your talent pool. Tia covers why retention is critical, then dives into how you can set yourself up for success by defining roles and responsibilities, putting in the work, and enacting the best recruiting approach for your organization. Tia describes ways to maintain your pipeline, use career progression as a program strategy, and define clear career progression requirements and growth plans. Plus, she goes into useful tips on boosting your corporate brand and incorporating the ROI of building a successful internal pipeline into overall program effectiveness.",Course,2024-10-17 16:12 UTC,N/A,false,N/A,
Hands-On AI: Build a Generative Language Model from Scratch,"You’ve heard about AI and its applications. You’ve probably used AI—maybe without even realizing it. Now, take a deep dive into AI in this hands-on course by building your own AI from scratch. Instructor Ronnie Sheer first guides you through a short project: the creation of a text completion model similar to the autocomplete function on a smartphone. He then shows you how to build a model that filters out hateful comments on social media. Plus, Ronnie demonstrates how you can use lyrics from your favorite songs to generate new, thematically similar lyrics.",Course,2024-05-22 13:08 UTC,N/A,false,N/A,
Learning Adobe Audition,"Adobe Audition is a powerful tool for recording, editing, enhancing, and mixing audio of all kinds. It's also a deep program that can seem intimidating at first, but don’t let that stop you from exploring. In this course, author of the official <i>Adobe Audition Classroom in a Book</i> Maxim Jago breaks it down for you, outlining the key features and processes involved in creating great-sounding audio with Audition. An ideal fit for podcasters, audio producers, and video producers working with audio, this course equips you with the skills you need to produce and share exceptional audio content on your next project.",Course,2025-01-29 02:12 UTC,N/A,false,N/A,
Multicloud Application Infrastructure as Code with Pulumi,"In this course, learn how to harness the power of multicloud architectures using Pulumi. Instructor Adora Nwodo covers the core concepts of multicloud environments and explores the intricacies of deploying applications across AWS and Azure. From conceptual understanding to practical application, Adora delves into topics such as multicloud strategies, stack management, configuration, and disaster recovery. Plus, learn about writing Pulumi code to provision resources in multicloud environments and implement multi-region deployments for enhanced resilience. This course teaches not only the foundational principles of multicloud architectures, but also the practical skills necessary to deploy, manage, and optimize multicloud applications effectively.",Course,2024-12-11 13:24 UTC,N/A,false,N/A,
Enhance Your Coaching Impact with Generative AI,"<p>Artificial intelligence can be leveraged in a vast number of ways to assist in your professional goals, and in this course, Sara Canaday teaches leaders and managers how to harness the power of  generative AI, specifically ChatGPT, to enhance their coaching impact. Sara shows you how generative AI can simulate coaching scenarios, generate insightful  questions that foster a more productive dialogue, and allow you to practice your coaching skills in a risk-free environment. But that is not all, with ChatGPT you can get instant, constructive feedback on your role-play techniques. Join Sara to find out how generative AI can strengthen your role as a leader and help you to better support your employee’s growth, performance, and development.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/ai-for-managers-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-06-26 19:18 UTC,N/A,false,N/A,
Uncertain: The Wisdom and Wonder of Being Unsure,"<p>Most people often feel embarrassed about uncertainties or blind spots in their knowledge. But Maggie Jackson—a journalist who covers social trends, with a particular focus on technology’s impact on humanity—argues that, properly understood, our ignorance can be the secret to enhanced performance and groundbreaking ideas. In this audiobook summary, Maggie shares five big ideas from her book, <i>Uncertain: The Wisdom and Wonder of Being Unsure</i>.
 </p><p>
 
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2025-10-14 02:48 UTC,N/A,false,N/A,
Selling into Industries: Telecommunications,"Learn what it takes to break through the clutter and sell in the telecommunications market. In this course, Meridith Elliott Powell helps sales professionals understand and master the unique challenges and skills required to sell into this ever-changing industry. Meridith acquaints you with the trends and changes—including network security and over-the-top (OTT) services—that are currently shaping this industry, as well as what telecommunications clients expect from sales reps. Learn how to use a consultative selling approach to gain a deeper understanding of client needs, create urgency by recognizing and solving those needs, and continue to expand your sales relationship after the deal is signed.",Course,2018-10-14 23:30 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007894,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007894,Course,2020-03-09 20:17 UTC,N/A,false,N/A,
Microsoft Teams Quick Tips,"Microsoft Teams, the communication and teamwork hub of Microsoft 365, was designed to help coworkers meet, connect, and share their knowledge with others. In this course, instructor Nick Brazzi shares a series of concise tips that help Teams users sharpen their skills and leverage all that this communication tool has to offer. Each video is around one to two minutes in length, so you can pick up insights in your spare moments. Learn tricks for working with messages and teams, customizing the interface, setting up notifications, running meetings, sharing files, using the Do Not Disturb feature, and more. Along the way, Nick shows you how to leverage the new AI-powered Copilot inside of Teams as well as how to use the Teams mobile app effectively.",Course,2024-06-06 01:32 UTC,N/A,false,N/A,
Achieving High-Performance During Times of Stress,"Whether you’re planning a big project with a tight deadline or giving an important presentation, two things are usually true: you need to hit it out of the park and your stress levels have never been higher. Fortunately, there are steps you can take to optimize your performance output in times of stress. In this course, join instructor Bill Williams as he explores what happens when tension and high performance overlap.<br><br>First, Bill explains what “high performance” means in this context and defines the habits of high performers, including how those individuals manage stress. Bill goes on to share tools for aligning your body, mind, and environment so that you can deliver consistently in any situation. You’ll leave this course with strategies for boosting your confidence and establishing high-performance habits—even when the stakes are high.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2024-07-11 13:03 UTC,N/A,false,N/A,
The Good Life: Lessons from the Longest Study on Happiness (Book Bite),"<p>What makes for a good life? There are countless answers to this question from philosophers, religious types, and self-help authors, not to mention the opinions of family, friends, and neighbors. The research conducted over 85 years by the Harvard Study of Adult Development reveals a surprising answer for the source of happiness: other people. Or more precisely, our relationships to other people. The stronger our relationships, the more likely we are to live happy, satisfying, healthier lives.
Marc Shulz, professor of psychology and Director of Data Science at Bryn Mawr College, and Robert Waldinger, professor of psychiatry at Harvard Medical School, explored the findings of the Harvard study in their book, <i>The Good Life: Lessons from the Longest Study on Happiness</i>. In this audiobook summary from Next Big Idea Club, Marc shares five key insights from the book that teach you how to cultivate and improve the relationships that can lead to a happier, more fulfilling life.
</P><p>
This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2024-04-08 19:59 UTC,N/A,false,N/A,
Microsoft 365 Copilot: Unlocking AI for Enhanced Productivity,"<p>This comprehensive course explains how you can harness Microsoft 365 Copilot to unleash the power of AI and elevate the quality and creativity of your work. From understanding the fundamentals of large language models and generative AI to choosing the right Copilot tool for your needs, instructor Jules White shows how AI transforms everyday tasks.
 </p><P>
Learn how to master prompt engineering within Copilot and discover essential techniques like flipped interaction patterns, in-context learning, and persona-based prompting. Whether you’re automating repetitive tasks or generating creative solutions, Copilot is designed to help you focus on what truly matters—thinking more, not less.
 </p><P>
Jules also covers the ethical use of AI in the workplace through the ACHIEVE framework, helping you use Copilot responsibly and beneficially for yourself while discovering new ways of solving problems, identifying gaps in your plans, and improving communication.</p>",Course,2025-09-02 00:22 UTC,N/A,false,N/A,
Prompt Engineering and AI Agents with ChatGPT,"Explore how OpenAI's updates transform prompt engineering with new agentic features. Learn to use variables and identifiers for reusable prompts and convert them into custom GPT agents. Master the @ mentioning system for task-specific GPTs, and discover advanced features like memory management, vision, audio processing, and custom instructions.",Course,2025-08-05 12:51 UTC,N/A,false,N/A,
ChatGPT: Perfecting Your Output with Templates in Prompts,"Unlock the full potential of ChatGPT by mastering the art of output perfection. In this course, instructor Jules White guides you through using Markdown templating and advanced prompt engineering techniques to achieve precise, beautifully formatted results every time. Learn how to create predictable outputs that elevate the quality and consistency of your AI interactions, whether you're drafting content, creating reports, or building conversational agents. By the end of this course, you’ll be equipped with the skills you need to leverage ChatGPT more effectively for your projects.",Course,2025-07-25 13:25 UTC,N/A,false,N/A,
Design Thinking in the Age of AI,"AI has impacted many industries all over the world, and design thinking is no exception. The rise of AI-powered tools has the potential to accelerate and enhance numerous aspects of the design thinking process, from enhanced empathy to more diverse and innovative ideation to more efficient prototyping and beyond. In this course for graphic designers, product designers, UX professionals, and brand and marketing strategists, brand strategist Justin Ahrens explores how and where AI can be integrated most effectively into design thinking practice today. Along the way, he shares insights on avoiding common pitfalls and addressing key ethical challenges such as bias, privacy, fairness, future-proofing, and more. By the end of this course, you’ll be equipped with practical strategies for putting it all together with AI-enhanced design thinking in action.",Course,2025-07-09 19:35 UTC,N/A,false,N/A,
How to Use Generative AI: Building an AI-First Mindset,"<p>Creating real impact with AI means understanding what generative AI is capable of today—and using that knowledge to stay ahead of future developments. Regardless of your industry, role, and experience, AI can transform your personal and professional development. If you want to learn how to unlock your full potential with AI, this course is for you.
</p><p>
In this course, AI thought leader, advisor, and investor Allie K. Miller provides her insights and guidance on how to thrive in the AI age. She shares real-world examples of generative AI tools in action, as well as her most-used framework to leverage AI to generate added value. Learn how to seamlessly integrate AI into your workflows, enhancing both individual and team productivity. Get the knowledge and tools to use AI for strategic planning, decision-making, and creative problem-solving. By adopting an AI-first mindset, you’ll be better prepared to future-proof your career and lead AI-driven transformations within your organization.",Course,2025-07-30 00:52 UTC,N/A,false,N/A,
Prepare Yourself for a Career in Sales (2016),"A career in sales starts with the basics. Being self-confident and engaging with others are the keys to your success. In this course, sales coach Dean Karrel provides career advice for anyone who wants to become a sales professional. Learn tips for keeping things simple, focusing on the positive, recognizing the accomplishments of other members of your team, and keeping your ego in check. When it comes to developing relationships with others, learn the basics of a proper greeting, such as eye contact, a handshake, and even a smile. Dean also emphasizes the importance of knowing how to listen, remembering people's names, and following through on a commitment. No matter what sales techniques or strategies you end up using to achieve your goals, these skills are the foundation to a long and successful career in sales.",Course,2018-08-31 18:09 UTC,N/A,false,N/A,
How to Manage Feeling Overwhelmed,"Feeling overwhelmed is common. It’s a sign that the demands on your time and energy have surpassed your ability to cope with them. Sometimes overwhelm is temporary; other times, it can lead to persistent and unhealthy pressure and strain. The good news is that with the right mindset you can make the unmanageable feel manageable again. In this course from stress expert and performance coach Heidi Hanna, you can learn how to identify and conquer that overwhelmed feeling—so you can remain focused, productive, and in control in the face of whatever comes your way. Discover how to disrupt the stress circuit, cultivate calm and positive emotions, and take small, imperfect steps toward resolution. Heidi also provides tips for recognizing and preventing the overwhelm, so it doesn’t get out of control the next time you have too much to do.",Course,2025-09-12 14:56 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:791375,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:791375,Course,2018-10-10 11:54 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:791376,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:791376,Course,2018-10-16 12:04 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:791371,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:791371,Course,2018-09-16 07:37 UTC,N/A,false,N/A,
CISSP Cert Prep: 3 Security Architecture and Engineering (2018),"Certified Information Systems Security Professional (CISSP) is the gold standard in IT security certification. Prepare for domain three of the exam—Security Architecture and Engineering—in this installment of <i>CISSP Cert Prep</i>. 

Security engineering ensures systems are designed to deal with all sorts of risks and disruptions, from hackers and database meltdowns to electrical outages. In this course, security expert Mike Chapple covers everything you need to know to balance business needs with security risks and design more secure systems. He covers cloud computing, as well as hardware, web, and mobile security; client and server vulnerabilities; smart device security; and physical security, such as site design and monitoring. Plus, get a deep dive into cryptography, one of the most powerful tools that IT pros can use to secure data and accounts.<br><br> 

Find the companion study books at the <a href=""http://www.wiley.com/WileyCDA/Section/id-827755.html"" target=""_blank"">Sybex test prep site</a> and review the complete CISSP Body of Knowledge at <a href=""https://www.isc2.org/cissp-domains/default.aspx"" target=""_blank"">https://www.isc2.org/cissp-domains/default.aspx</a>. You can also join Mike's free study group at <a href=""https://www.certmike.com"" target=""_blank"">certmike.com</a>.",Course,2019-02-27 10:25 UTC,N/A,false,N/A,
Nonprofit Fundraising: A Beginner’s Guide,"Relationships are part of our daily lives, and focusing on them is a proven method for successful communication. To raise funds successfully, you need to aim for long-lasting, mutually beneficial relationships. This starts by understanding the exponential growth of the nonprofit world’s impact on donors. This course from Fundraising Academy explains how donor’s mindsets have changed with the development of watchdog organizations. Learn to embrace your selling persona and improve prospective and donor relationships with the Cause Selling Cycle. Explore ways to remain ethical in the gray areas, as well as the time management, organizational, and communication skills that you will need as prospective donors decide to partner with you and your cause. 
 <br><br>
Note: This course was created by <a href=""https://www.fundraising-academy.org/"">Fundraising Academy</a> together with <a href=""https://onlymadecraft.com"">Madecraft</a>. We are pleased to host this training in our library.",Course,2022-09-27 12:10 UTC,N/A,false,N/A,
Michael Beinhorn with Bobby Owsinski: Herbie Hancock to Alt Rock,"In this series, music producer Bobby Owsinski interviews iconic audio- and music-industry personalities: the outliers, forward thinkers, and rule breakers. This installment features producer and industry critic/industry advocate Michael Beinhorn.<br><br>

Co-writer and producer of Herbie Hancock's 1983 mega-hit ""Rockit,"" Michael Beinhorn has worked with Soundgarden, Hole, Marilyn Manson, and Ozzy Osbourne, among others. His <em><a href=""https://mjbphd.wordpress.com/"" target=""blank"">How To Save Popular Music</a></em> blog is a witty and acerbic commentary on many facets of the industry. In this interview, Bobby and Michael chat about Michael's career, influences, and inspirations, and the future of pop music.",Course,2020-02-01 15:06 UTC,N/A,false,N/A,
Mistakes to Avoid in Performance Marketing,"Discover how to optimize your marketing efforts by identifying common performance marketing mistakes. In this course, taught by Erika Barbosa, you'll explore several common pitfalls in performance marketing, such as setting unclear objectives, ignoring audience segmentation, and using social media platforms ineffectively. After this course, you'll be prepared to enhance your brand by avoiding these common performance marketing blunders.",Course,2025-11-18 13:59 UTC,N/A,false,N/A,
Nano Tips for Interpersonal Communication with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.  In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies Shadé Zahrai shares tips for improving interpersonal communication skills. Shadé explains the importance of choosing words that foster collaboration, shows how you can transform your communication with positive reinforcement, describes the biggest conversation buzzkill, and more.",Course,2026-01-23 14:41 UTC,N/A,false,N/A,
Amplify Your Critical Thinking with Generative AI,"<p>Join critical thinking expert Becki Saltzman as she explores techniques and strategies to amplify your critical thinking skills with generative AI. In this course, Becki shows you how to identify potential biases in generative AI as well as biases in your own thinking. Learn how to apply a critical thinking framework for using generative AI in order to establish a clear purpose, identify the quality of information provided by generative AI—including reliability, relevance, and validity—and write prompts grounded in critical thinking practices. Becki also demonstrates how to use generative AI in order to simulate other perspectives and think more critically about your everyday workflow. By the end of this course, you’ll be equipped with new skills to leverage generative AI to identify assumptions, clarify concepts, and improve conclusions.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/ai-for-managers-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/human-skills-in-the-age-of-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-10-02 13:58 UTC,N/A,false,N/A,
The AI-Driven Accountant,"AI is revolutionizing accounting—are you ready? In this course, Hector Garcia—Certified Public Accountant and Certified Advanced QuickBooks ProAdvisor—highlights the transformative power of ChatGPT in revolutionizing your accounting practice, including financial data analysis, tax research, client correspondence, and ethical AI implementation. Learn how to use this AI tool to analyze financial statements, conduct tax research, and draft client communications efficiently. Explore ways to automate data analysis from spreadsheets and uncover insights faster without compromising on accuracy. Understand the ethical and secure use of AI in handling sensitive client information and maintaining privacy standards. Dive into practical, hands-on lessons to build your confidence in employing AI effectively. Whether you are an accountant, tax advisor, or financial planner, mastering these AI-driven techniques will give you a competitive edge and help you focus on higher-value tasks.",Course,2025-09-17 15:01 UTC,N/A,false,N/A,
Nano Tips for More Effective Meetings with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai shares quick tips for running more productive meetings. Shadé explains how to optimize meeting dynamics, maximize individual contributions, and strategically structure meetings for peak performance. Plus, learn how to continuously rate and improve your meetings.",Course,2024-06-24 19:14 UTC,N/A,false,N/A,
Running a Design Business: Leading a Creative Team,"Leading a creative team comes with a unique set of challenges that must be navigated with care in order to get reports to be able to perform at their best. In this course, Stephen breaks down the tenets of impactful leadership for creative professionals. He covers how creative leadership is unique, why it's important, the ways leaders can improve what they are doing, and how to help foster the kind of culture that is most beneficial.",Course,2018-07-24 21:41 UTC,N/A,false,N/A,
Emerging Leader Foundations,"Taking on a leadership role in the diverse, ever-changing modern workplace can feel both exhilarating and confusing. How can you create a space where employees feel listened to and fulfilled? How can you cultivate a more diverse team and foster a culture of learning? While there's no easy path to becoming a good leader, there are steps you can take to start developing the critical skills you need to lead effectively. In this course, join <em>New York Times</em> best-selling author and Fortune 500 consultant Dan Schawbel as he explains how to grow your career as a leader by learning how to manage yourself, hire and coach employees, and create a diverse and collaborative workplace. Dan shares tips and strategies for creating productive habits, sticking to your goals, and leading with empathy when confronted with difficult situations. Plus, he discusses how to effectively reward team performance, enhance the employee experience, and more.",Course,2018-07-20 21:13 UTC,N/A,false,N/A,
Improving Your Mental Health at Work,"</p>Employee mental health is a hot topic of discussion in today’s workplace. This course, led by psychologist Karen Doll, discusses the importance of mental health awareness in the work environment. Karen details science-backed stress management techniques that are accessible and practical, like regulating one’s inner state and energy. She guides you as you elevate your mental model by incorporating healthy thinking, emotional literacy, and self-compassion practices. Learn methods to build resilience, developing a flow state, starting a “personal book of awesome,” seeking gratitude and service, and nurturing connections. She’ll teach you how to effectively foster your focus and highlight the importance of setting boundaries. After this course, you’ll be equipped to tend to your own mental health, encourage your colleagues to do the same, and provide your workplace with the tools needed to improve employee mental health.</p>
<p>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" alt=""Company logo for Madecraft; the letter M configured as part of a printing press"" width=""20%"" height=""20%"" />",Course,2025-06-14 16:00 UTC,N/A,false,N/A,
Product Marketing: Competitive Intelligence,"<p>Your business's competitive landscape is more crowded and more high-stakes than ever before, making it increasingly more difficult for you to stay current with the competition. As a successful product marketer, it's critical that you build your own custom competitive intelligence (CI) program—from continually gathering insights to strategically sharing the research findings with stakeholders for more informed decision-making.
<p></p> 
In this course, learn how to successfully build and nurture your competitive intelligence skills, from expert product marketer and head of the Product Marketing Alliance (PMA), Richard King. Gain expertise in continually gathering and leveraging CI data within your organization—resulting in informed marketing strategies, successful product roadmaps, and sustainable competitive advantages that boost your brand’s longevity.",Course,2025-11-12 16:37 UTC,N/A,false,N/A,
